380	9	TLE
434	6	AC
462	8	WA
383	8	TLE
434	7	AC
434	7	AC
354	2	TLE
354	9	AC
380	10	WA
354	2	CE
354	2	AC
383	8	WA
462	8	WA
383	8	WA
462	8	WA
380	9	TLE
380	9	TLE
369	6	WA
369	6	WA
392	1	CE
369	8	WA
392	1	WA
392	1	WA
369	8	WA
407	9	TLE
443	7	AC
369	8	AC
353	1	WA
392	1	AC
353	1	WA
442	3	WA
353	1	AC
442	3	AC
380	9	AC
443	8	AC
392	2	CE
392	2	OLE
407	9	CE
392	2	CE
407	9	RTE
447	4	WA
380	10	WA
392	2	CE
359	2	AC
380	10	WA
380	10	WA
354	3	TLE
443	9	WA
443	9	WA
443	9	AC
354	3	AC
443	10	WA
443	10	WA
381	9	CE
381	9	WA
443	10	TLE
359	3	TLE
359	4	WA
383	2	WA
359	6	AC
443	10	AC
359	8	TLE
381	9	AC
359	9	TLE
359	10	TLE
447	1	WA
354	4	AC
447	2	WA
447	3	AC
353	2	WA
381	10	AC
407	9	RTE
353	2	RTE
383	2	WA
383	2	AC
378	2	WA
359	4	AC
383	2	AC
392	2	CE
378	2	WA
353	2	WA
464	1	WA
378	1	CE
378	1	WA
464	1	AC
392	2	CE
378	1	WA
359	8	TLE
392	2	OLE
464	2	WA
464	2	WA
353	2	WA
378	1	WA
464	2	WA
353	2	AC
354	10	AC
359	3	TLE
378	1	AC
359	8	TLE
359	3	TLE
378	2	WA
359	3	AC
359	9	TLE
392	2	OLE
359	3	TLE
392	2	OLE
353	5	CE
353	5	WA
359	3	WA
392	2	OLE
392	2	TLE
392	2	TLE
359	1	CE
359	3	TLE
392	2	WA
359	8	TLE
392	2	WA
464	2	WA
464	3	TLE
464	3	TLE
359	10	TLE
457	2	WA
457	2	WA
457	2	WA
457	2	WA
457	2	AC
457	3	TLE
359	10	WA
359	10	WA
457	5	WA
457	3	TLE
359	5	AC
457	8	WA
384	9	RTE
457	9	TLE
457	9	TLE
457	9	TLE
457	10	TLE
384	9	AC
384	10	AC
45	1	WA
45	1	AC
462	8	WA
392	2	WA
359	10	AC
45	2	CE
45	2	CE
441	3	AC
428	1	AC
45	2	WA
45	2	WA
392	2	WA
45	2	AC
392	2	WA
428	2	WA
428	2	AC
462	8	AC
359	9	AC
369	6	AC
428	3	AC
369	6	AC
369	6	AC
428	4	WA
359	8	WA
359	8	WA
429	3	WA
441	4	WA
441	4	WA
439	6	AC
429	3	WA
434	8	AC
429	3	AC
434	8	AC
375	9	TLE
434	8	AC
393	8	WA
441	5	AC
375	9	WA
375	9	TLE
441	6	AC
394	1	WA
394	1	AC
394	2	WA
359	8	WA
375	9	AC
394	2	WA
359	8	AC
394	2	AC
441	7	AC
354	5	TLE
354	5	TLE
394	3	AC
354	5	TLE
354	5	TLE
354	5	WA
354	5	AC
369	2	AC
54	1	CE
54	1	WA
351	2	WA
351	2	WA
54	1	WA
351	2	WA
376	9	WA
454	1	AC
376	9	WA
376	9	AC
351	2	AC
376	10	WA
452	2	WA
376	10	AC
428	4	WA
54	2	WA
376	5	WA
428	4	WA
376	5	WA
54	2	WA
376	5	AC
54	2	WA
368	2	AC
428	4	WA
54	2	WA
394	4	WA
428	4	WA
428	4	WA
394	4	WA
54	2	CE
54	2	RTE
54	2	RTE
54	2	CE
54	2	CE
394	6	WA
428	5	AC
54	2	WA
394	6	AC
363	2	AC
54	2	WA
54	2	AC
368	3	WA
368	3	AC
54	2	AC
375	10	CE
428	6	AC
375	10	WA
375	10	AC
368	1	WA
368	1	WA
368	1	WA
368	1	AC
428	7	WA
376	10	TLE
428	7	AC
428	8	WA
357	3	TLE
428	8	WA
386	4	RTE
428	8	WA
428	8	WA
386	9	TLE
